Card ID,Name,Reverse Side,Game,Card Type,Cycle,Card Size,Found In,Story Card,Flavor A,Summary A,Rules A,Flavor B,Summary B,Rules B,FAQ,Errata
AD0120,The Absent Rule,,Odyssey,Story,Cycle I,Half-Page,,1,"As the Argo leaves the Knossos port, you look to the Horned City one last time. Not many have come to see you off, but a glint from the palace confirms your suspicions: spying eyes are set upon you.<<NL>>The Cretans delivered fuel and supplies as promised. Enough to subsist, but only jusy. Is it all they could spare, or a short leash? Either way, you should stick to the coast.<<NL>>Without much to go on, you fall back on the basics: scout the island, question the locals",Collect Progress,"If you skipped the Tutorial, create the Cycle I exploration deck: find Cycle I Exploration cards 1-9, 13, 19, 23, and 28-32, and shuffle them. Take the Cycle I Map tile [027|A027] and place it on the table. Place the Argo on that tile. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.<<NL>>To progress through the story you must gather @Progress. Each time you gain @Progress, place a @Progress token either on the current Story card or on the Inward Odyssey card.<<NL>>If the [Minoan Guide|AC0072] is with you, immediately place 1 @Progress token on this card. When there are 6 or more @Progress tokens on this card, flip the card to side 1B","Minos is a hard man to find. The scraps of information you do manage to uncover inevitably lead to a dead end: a missing fisherman, a burned down temple, a murdered philosopher. It doesn't help that the Minoans are not as forthcoming as you would like. It seems the king held the island in too tight a grip, and there are many who would prefer him to remain missing.<<NL>>A lesser crew would give up on this fruitless search. But not you. Even the absence of clues is in itself a clue. Someone has been covering their tracks.<<NL>>There's talk of foreigners supposedly looking for the same prize you're after. Not far from your current position, atop a mount on an artificial island, stands an unfinished Cretan wonder known to some as the City of the Bull. Construction halted when the Great Mourning began--yet now there are rumors of foreign ships coming and going under the cover of night.<<NL>>It might be prudent to pay it a visit",Reach the City of the Bull,"Place the City of the Bull marker on the closest unoccupied @City symbol.<<NL>>If there are no unoccupied @City symbols on the Map, place the marker on thisc ard instead. Then, when you reveal a Map tile with a @City symbol, immediately place the City of the Bull marker on that @City symbol.<<NL>>You cannot use *Negotation* abilities on a @City covered by the City of the Bull marker.<<NL>>*Finding the City:* If the _Argo_ is on the Mpa tile with the City of the Bull marker, during the Story Step, see 0002",,
AD0121,A Fateful Randezvous,,Odyssey,Story,Cycle I,Half-Page,,2,"It seems King Minos may have found himself some new friends in this ""Symmachy"" you've been hearing about. But to choose foreign power over his own daughters? Strange and ominous. Eitehr something is rotten at the core of the Minoan Dynasty... or Minos was taken prisoner and the Symmachy are using old animosities to stir the already boiling pot that is Crete.<<NL>>Either way, this ""Symmachy"" is involved and your mission remains the same. You concentrate your efforts on finding the foreign ship, the Marathonian",Collect Progress and follow the clues,"When this card is revealed, perform a Divine Surge.<<NL>>Take the four Story 2A Clue cards and shuffle the,. When you place your 2nd @Progress token on this card, draw one of the four 2A Clue cards and return the rest to the box. You need to find the Map tile shown on the card. Correctly match the clue from the card to the clue on the Map tile to find what to do next!<<NL>>You can contineu placing @Progress tokens on this card (up to 9). They may come in handy later. Alternatively, you may wish to learn more about the _Argo_ through the Inward Odyssey...","The Symmachy flagship has fled upriver. You're not sure what their plan is or how far the Argo can sail in shallow waters, but you have little choise: Minos is on that ship. Willingly or not, he will come with you, and you will be done with this cursed island once and for all.<<NL>>You give pursuit. Even a few miles inland, the landscape starts to change, become more angular, more... artificial. Your scouts reported as much, but seeing this with your own eyes, hills slowly turning into stepped terraces like the Egyptain pyramids, or peach and persimmon trees bearing cube-shaped fruit, is something else.<<NL>>Crete is being remade and seemingly nothing can stop it.<<NL>>You must find Minos",Catch up to the Flagship,"Find the ten Story 2B Clue cards, set aside the [Symmachy Flagship|AC0066] card and shuffle the rest. Then randomly remove a number of these Clue cards equal to the number of @Progress tokens you had on Story 2A and return them to the box (without looking). Finally, shuffle the _Symmachy Flagship_ card with the remaining Clue cards to create the Pursuit deck.<<NL>>*Looking for the Flagship:* If the _Argo_ is on a *river* (a Map tile with the @River symbol in the bottom right corner), during the Story Step, draw 1 card from the Pursuit deck and resolve it, then remove it form the game (return it to the box)",,
AD0122,A Phantom Thread,,Odyssey,Story,Cycle I,Half-Page,,3,"Your meeting with the Symmachy has left you with more questions than answers. You have no reason to believe anything Militiades said--but you could say the same about the about the Minoan Dynasty. The only difference is, Minos's daughters hold the keys to the Daedalus Vault, wherein you hope to find parts to fix the Argo. Or so they claim.<<NL>>From what you've learned, Minos, if he is still alive, is heading for the grave of Ariadne at the Sepulcher Acropolis. The Acropolis is hidden, but Daedalus, its builder, left clues to its location at several sites across Crete.<<NL>> Thankfully, you've got a map",Locate the Sepulcher Acropolis,"When this card is revealed, perform a Divine Surge.<<NL>>Take the five Story 3A Clue cards and shuffle them to create the Temple deck.<<NL>>If the _Argo_ is on a Map tile with the Minotaur Temple symbol, during the Story Step, you may search it by drawing and resolving a card from the Temple deck. If the card shows any coordinates, these coordinates are forever tied to the Map tile they were drawn on. You can search each Minotaur Temple only once. Note searched Temples in the Map section of the Argo Sheet.<<NL>>You can collect @Progress to quicken your search. Resolve the effects below when you place the designeated number of @Progress tokens on this card.<<NL>>2 @Progress: Reveal the top card from the Temple deck and discard it. This is not considered drawing a card.<<NL>>5 @Progress: Reveal the top card from the Temple deck and discard it. This is not considered drawing a card.<<NL>>9 @Progress: Draw the top card from the Temple deck and resolve it.<<NL>>When you find the full set of coordinates of the Sepulcher Acropolis, turn this card to side 3B","You've traveled Crete far and wide, uncovering cryptic clues left by the Great Inventor, Daedalus. Many a time you've asked yourselves: why hide a necropolis? Why leave clues leading to it? For whom?<<NL>>Maybe Minos will be able to provide some answers.... once you find him. If he's alive. As you put together the fragmented information from the many Minotaur Temples visited, you pinpoint the location of the Sepulcher Acropolis.<<NL>>You set your course",Reach the Sepulcher Acropolis,"Place the Sepulcher Acropolis marker on the Map tile shown by the coordinates. If it is unexplored, place the marker on this card instead. Then, when you reveal the Map tile designated by the coordinates, immediately place the Sepulcher Acropolis marker on this tile.<<NL>>*Find the Sepulcher Acropolis:* If the _Argo_ is on the same Map tile as the Sepulcher Acropolis marker, during the Story Step, see 0075",,
AD0123,Unappealable Egress,,Odyssey,Story,Cycle I,Half-Page,,4,"There are many things that you still don't understand, but the hour grows late, and Crete's twilight is at hand. Soon there will be no way of stopping the reality-bending Truth. Minos is gone and with him, the true line of Minoan rulers seemingly ends. Your contract with the Minoan Dynasty cannot be fulfilled.<<NL>>Ironically, the Sepulcher Acropolis housed the Daedalus Vault, the very place you've risked your neck for. With the parts found within, Alkabiades mends the Argo. You can finally leave this accursed island behind.<<NL>>Yet you remain. For during your journey you've learned that mere survival is not enough. This world desperately needs hope heroes--and you will provide both. This is your purpose.<<NL>>The Last Academy is creating a machina that will amplify the ontological field surrounding the grave of Ariadne and make the Temenos vulnerable. They call it Ariadne's Anchor.<<NL>>You rush to Knossos to have a word with the self-proclaimed mouth of the Labyrinth, the Punished, now a prisoner of the Minoan Dynasty, to lure the creature out",Collect Progress and reach Knossos,"When this card is revealed, perform a Divine Surge.<<NL>>If the Minoan Guide is with you, see 0089.<<NL>>If the Old Spinner is with you, immediately place 1 @Progress token on this card.<<NL>>*Dog Days Are Over:* Permanently remove the [Dog Days|AB0075] Exploration card from the Exploration deck (return it to the box).<<NL>>You need to create the Ariadne's Anchor and rush back to Knossos.<<NL>>*Reach Knossos:* If the Argo is on the Knossos Map tile (027) and there are 5 or more @Progress tokens on this card, the Anchor is complete. During the Story Step, see 0104 (*Warning: Point of No Return*).<<NL>>*Upgrade the Anchor:* When there are 12 or more @Progress tokens on this card, flip to side 4B","Ariande's Anchor is complete, with time to spare. The scholars of the Last Academy can perfect the design.The ontological field seems to have more properties than just anchoring an object to reality: some of the philosophers propose it may be used to conjure up a ""theatre-like"" reality environment, a waking dream to explore the endless possibilities of life. But that is for the future.<<NL>>One day, the scholars find a giant xiphos lying on the floor of the Anchor's chamber, with no idea how it got there",Reach Knossos,"Gain the [Theseus Razor|AJ0268] @Gear card (Secret deck 2, Card 14) and the [Temenos Sighting] Technology card (unless you already have it). Then, immediately go on an adventure from the Dreams Laid Bare hub (if you finished this hub already, choose another hub to go on an adventure from!).<<NL>>With the Ariadne's Anchor upgraded and operational, it is time to head to Knossos.<<NL>>*Reach Knossos:* If the Argo is on the Knossos Map tile (027) and there are 5 or more @Progress tokens on this card, the Anchor is complete. During the Story Step, see 0104 (*Warning: Point of No Return*)",,
AD0124,Inward Odyssey: Truth Of The Labyrinth,,Odyssey,Story,Cycle I,Half-Page,,IO,"You know precious little about the grand vessel you call home. Who built it? For what purpose? How did you come to be onboard?<<NL>>There are vast spaces below deck, more than should be possible, even taking into account the massive size of the ship. Each day brings a new discovery, a new secret to be unraveled. Your Inward Odyssey has just begun",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.<<NL>>When you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:<<NL>>1: Endless Decks<<NL>>2: Phos Dance<<NL>>23: Glitch in the Engine<<NL>>4: A Distant Thunder<<NL>>5: Mark of the Maker<<NL>>6: Of Dreams and Memories<<NL>>7: Blood of the Mother<<NL>>8: See the Forest<<NL>>9: Days of Meaninglessness<<NL>>10: Memory of a Distant Shore<<NL>>After you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.<<NL>>When you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:<<NL>>11: Garden of Solitude<<NL>>12: The Argonites<<NL>>13: Children of the Earth<<NL>>14: Remembrance<<NL>>15: A Spy Among Us<<NL>>16: Fire in the Depths<<NL>>17: United<<NL>>18: The Final Deterrent<<NL>>19: Black Blood Cryptex<<NL>>20: Echoes of Long-Lost Battles",,
BD0631,A Nietzschean Welcome,Gatecrashing,Odyssey,Story,Cycle II,Half-Page,,1,"You have arrived in Lakonia, looking for answers about your origins. Instead, you've found death at the hands of Sparta's cruel, merciless leader, the Nietzschean.<<NL>>The Nietzschean has issued you a challenge: reach the Temple of Man in 80 days and defeat him. Each day you linger, innocents will die, sacrificed to the new world order. You are the Argonauts. You will not let this stand.<<NL>>To reach the Temple of Man, you need to navigate the empire's many rivers and canals, the Great River Works, and cross the sluice gates of the First Cataract.<<NL>>And for that, you need an ignition key and a defector",Collect Progress,"Create the Cycle II Exploration deck: find Cycle II Exploration cards 1-9, 13, 19, 23, 31, and 32 and shuffle them. Take the Cycle II Map tile [078|B078] and place it on the table. Place the Argo on that tile. Gain the [First Cataract Fortification Line|BC1176] Clue card (Story 1A). Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.<<NL>>When there are 7 or more @Progress tokens on this card, flip the card to side 1B","The war rages on, and casualties mount. Even with enemies without and within, the Nietzschean empire is on the offensive. Each day brings new signs of misery: burned vullages and caravans of refugees.<<NL>>You push forward.<<NL>>Armed with an ignition key, you set your eyes on the First Cataract. There are four Sluice Gate Fortresses barring the way up north. The key you've recovered will grant you access to one of them. Luckily, you've got a map.<<NL>>Now, to find a spy who will open it from within..",Find the correct Sluice Gate deck,"Take the four Story 1B Clue cards and shuffle the, to create the [Sluice Gate deck]. Draw the top card and return the rest to the box. Reach the tile indicated by the card (it will include a waterway with the First Cataract Sluice Gate movement symbol). When you enter the correct tile and have at least 1 @Defector, correctly match the clue card to the clue on the tile to begin your assault!",,
BD0632,To Win The War,Black Nadir,Odyssey,Story,Cycle II,Half-Page,,2,"Your success at the Sluice Gate Fortress has emboldened your allies and disparate rebel groups across Lakonia. As the Argo cuts into Nietzschean territory beyond the First Cataract, and a whole nation rises in open revellion, the front lines are redrawn and the Symmachy gains initiative.<<NL>>They deem the time has come to end the war with a quick, decisive victory...<<NL>>The Nietzschean is said to travel between the outlying fortresses, inspecting the troops, which leaves you an opening. If you're able to pinpoint his location or learn of his itinerary, you'll be able to trap him inside a fortress and force him to battle on your terms.<<NL>>Until that time, you need to build up Resistance in the region. It'll take a concerted effort from you and your allies to bring the tyrant down",Find the Nietzschean's location and muster the rebel forces,"When this card is revealed, perform a Divine Surge.<<NL>>From this point onward, you can freely traverse @Lock waterways with the First Cataract Sluice Gate Fortress @FirstCataract symbol. Note this on your Argo Sheet.<<NL>> Gain the [Fortress Map|BC1178] Clue card (Story 2AA). Spartan Stronghold symbols (@SpartanStronghold) denote possible locations of the Nietzschean.<<NL>>Take the six 2A Clue cards and shuffle them. This is the [Fortress Deck]. Whenever you win a Battle, draw 1 card from the Fortress deck and reveal it. Until the next Battle, the Nietzschean is at the last revealed location. This will become relevant when you progress to side 2B. When you lose a Battle, shuffle all revealed Fortress cards back into the deck.<<NL>>@Progress tokens placed on this card represent the strength of the Resistance in the region. When there are 6 or more @Progress tokens on this card, flip the card to side 2B. Move the @Progress tokens to side 2B","As the giant Argo trudges through the ambrosia-contaminated canals of the Lakonian heartland, your allies gather in the Bridge Tholos to discuss the operation that will bring the Nietzschean down.<<NL>>You've achieved so much in such a short amount of time, you can hardly believe it. And yet you dread facing the Nietzschean's monstrous shadow on the battlefield, as you still feel outclassed... yet this is it. You've located the Nietzschean and his Temple of Man citadel, and you've cut off all possible escape routes. It's time to call on your allies--on everyone who opposes the Spartan tyranny--and make the final push.<<NL>>The bastard will pay for every drop of innocent blood he's spilled",Lay siege to the Fortress and put an end to the Nietzschean,"You do not draw any more Fortress cards: the Nietzschean is waiting at the last revealed location. If no Fortress card is currently revealed, draw one now.<<NL>>@Progress tokens placed on this card represent the strength of the Resistance in the region. When there are at least 10 @Progress on this card and you're on the correct tile with the Spartan Stronghold symbol, during the Story Step you may initiate the Siege of Sparta and see:<<NL>>10-14 @Progress Ragtag force: 0053.<<NL>>15-19 @Progress Sizeable force: 0054.<<NL>>20+ @Progress Overwhelming force: 0055",,
BD0633,Argophylae,Bearing Gifts,Odyssey,Story,Cycle II,Half-Page,,3,"You're still reeling from the disaster that was the Battle at the Fortress. The Nietzschean baited you in and closed the trap behind you. He has sacrificed the entire stronghold to deal the revel forces a grave wound--one that they may not recover from.<<NL>>As your allies scatter for safety, all the might of the Nietzschean empire bears down on the Argo. You thought yourselves untouchable in your gargantuan ship. Well, your enemy is right here to prove you wrong. Nothing is untouchable.<<NL>>Cyclopean-forged chains have been strung from canal walls. Pursuit armadas of hunter-killer triremes snap at your heels. A barrage of harassment falls on you from above and below, from without and within, day and night, without reprieve. You're tired, broken, trapped.<<NL>>Out of this gauntlet, you will emerge hardened--or not at all",Escape the Argophylae trap and hide in a Resistance Haven,"When this card is revealed, perform a Divine Surge.<<NL>>Take the seven Story 3A Clue cards and shuffle them to create the [Argophylae deck]. At the end of each Timeline Step, draw 1 card from this deck and resolve it.<<NL>>Place the Blockade token on the top space of the Blockade diagram on this card. You cannot move the Argo in the direction denoted by the Blockade token. At the end of each Movement Step, move the token 1 space clockwise.<<NL>>Eligible Resistance havens are @City named in the 2B Story adventure (if you're not sure which, check the noted paragraph again and follow the instructions there).<<NL>>If the Argophylae deck runs out of cards, shuffle it. If the Argophylae deck runs out of cards for the second time or the Argo is on a Map tile with a friendly Resistance Haven, during the Story Step see 0128","You are the Argonauts, and you have survived the grinder the Nietzschean has put you through. As you lick your wounds in the relative safety of a Resistance haven, you are able to process how the bastard did it: as the Nietzschean moves, so does his Temple of Man. The Abyss wills it.<<NL>>If you want to have a chance at defeating him, you need to negate this advantage.<<NL>>A dangerous plan is set in motion. A strike team will infiltrate the heart of the empire, the very Temple of Man, to seed the unlikeliest of things: a piece of the maze of Crete, courtesy of the Temenos carcass in your cargo hold. Then, Ariadne's Anchor will root the fortress in place.<<NL>>Now you need to snatch yourselves a few Spartan officials to impersonate",Infiltrate the Temple of Man,"Take the six Blue Clue 3B cards and shuffle the, (for now, put the six Red Clue 3B cards aside). This is the [Identity deck]. Each time you gain a @Progress token, you may draw a card from this deck instead. When you have at least 4 Identity cards, during the Story Step you may see 0143 (however, you may wish to gain more Identity cards before you do that!).",,
BD0634,Stand Together,What Are You?,Odyssey,Story,Cycle II,Half-Page,,4,"As you stand on the Acropolis deck, your gaze is drawn to the heart of the empire. You've anchored the Temple of Man and you've learned of the Nietzschean's weakness. You're still not sure you can win, your forces all but depleted, but if you are to lose, you will do it together.<<NL>>Preparations are well underway on a two-pronged attack: the Argo and the Titans will engage the Nietzschean monstrosity and the Spartan army around the capital, while a second, smaller strike team will once again brave the corridors of the Temple of Man, breach the Throne Room, and attack the mortal Nietzschean directly. Hopefully, he can't fight on two fronts at once.<<NL>>They start coming at dawn: ships of all shapes and sizes manned by the Helots, caravans of Cyclopes numbering in the dozens, and the triremes of the grand Symmachy Diaspora Fleet. You recognize some of them as veterans of the Battle of the Fortress.<<NL>>Before you can say anything, a representative of the growing refugee community on the Argo comes to you with a plea: the refugees want to fight too.<<NL>>""How many?"" you ask.<<NL>>""All of them.""<<NL>>You feel your eyes water.<<NL>>They have all comel They will all stand with you in the end.<<NL>>Let's take down the Nietzschean together",Attack the Nietzschean on two fronts. End him,"When this card is revealed, perform a Divine Surge.<<NL>>Immediately reveal the Temple of Man tile (018). Immediately place 1 @Progress token on this card for each Refugee you have. Immediately place a number of @Progress tokens on this card equal to the sum of all Faction Diplomacy Bonuses. Halve the noted Resistance Strength from 2B (rounding up) and place that many additional @Progress tokens.<<NL>>@Progress placed on this card represents the strength of the Resistance in the region.<<NL>>When there are at least 10 @Progress tokens on this card and the Argo is on the Temple of Man tile, during the Story Step you may initiate the Siege of the Temple of Man and see 0201.<<NL>>(*Warning:* This is a *Point of No Return*, you won't be able to return to the Voyage Phase!)<<NL>>Note: The more @Progress you have here, the stronger your allied force will be during the final confrontation!",The time has come and you mustn't blink. Each battle and decision has led you here. The Nietzschean has a habit of asking people what they are... Show him. Break his hold and power,Time and Edge,"Place an Edge marker and a Time marker on the Battle track, on space '0' (unless the Edge marker has already been moved).<<NL>>During the Battle, move the Edge marker 1 space each time the Nietzschean is dealt a Wound (treat a Double Wound as two Wounds). Move the Time marker at the beginning of every Titan Round. When a marker reaches the indicated space or the event happens (in case of the 12th Wound), trigger the appropriate story paragraph (resolve it immediately):<<NL>>Time 1: see 0212.<<NL>>Time 2: see 0213.<<NL>>Edge 6: see 0214.<<NL>>Time 3: see 0217.<<NL>>Time 4: see 0220.<<NL>>Edge 10: see 0222.<<NL>>12th Wound dealt, see 0224.<<NL>>*Darkest Hour*<<NL>>At the start of the Battle, if you gathered a Sizeable or Overwhelming Force, choose a space on the Battle track. Once per Battle, if the Time marker is on the chosen space and a Titan is about to attack, you may immediately place a negative @AT token in the Kratos Pool (2 negative @AT tokens instead if you have Overwhelming Force).<<NL>>*The Sea of People*<<NL>>At the start of Battle, place a number of Support tokens (mark them with generic tokens) on this card equal to the number of your @Refugees. During this Battle, when a Titan is about to attack, you may discard exactly 1 Support token to immediately place 1 Opening or Break token in the Kratos Pool.<<NL>>*Ties that Bind*<<NL>>If Cyclopes: Allied, the first time a Titan is about to die from a normal Attack (i.e. without any additional Attack type), see 0243.<<NL>>If Symmachy: Allied, the first time a Titan is about to die from a Judgement Attack, see 0245.<<NL>>If Helots: Allied, the first time a Titan is about to die from a Zone Attack, see 0244.<<NL>>*The Battles commenses!*<<NL>>If you've read all the rules here and in the Storybook, see 0211",,
BD0635,Inward Odyssey: Abysswatchers,,Odyssey,Story,Cycle II,Half-Page,,IO,"As you sail through Lakonia, your knowledge of the city-ship grows. Disturbing secrets and shocking revelations are brough to light and force you to reevaluate your Odyssey",,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.<<NL>>When you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:<<NL>>21: Land of the Strong and Free<<NL>>22: The Price of Difference<<NL>>23: Scorned Smith<<NL>>24: Chimeric War<<NL>>25: The Nymph and the Engine<<NL>>26: The Means the End<<NL>>27: The Muse Kids<<NL>>28: Way of Strength<<NL>>29: A Titan's View<<NL>>30: The Rule of the Blade<<NL>>After you resolve the last adventure from this list, flip this card",Your Inward Odyssey continues!,,"When there are 2 @Progress tokens on this card, discard them and gain +1 @ArgoKnowledge.<<NL>>When you reach a given @ArgoKnowledge level, during the Story Step, after all other Story events, resolve the corresponding Inward Odyssey adventure:<<NL>>31: Blood of the Earth<<NL>>32: The Fourth<<NL>>33: As Above, So Below<<NL>>34: Shadow Play<<NL>>35:Argo-bred<<NL>>36: Forsaken Aeons<<NL>>37: Unyielding<<NL>>38: Days of Aeons Past<<NL>>39: Gen 1<<NL>>40: Song of Life",,
CD1257,Icarus's Plea,Oracles' Sentence,Odyssey,Story,Cycle III,Half-Page,,1,"Delphi is a land stuck, its people hostage to the whims of the mad Oracles, repeating a cycle of death and destruction over and over again. You have come to free them from this time-locked prison, but also to realize a dream: to go back to a time before the Eschaton and to stop it from ever happening.<<NL>>A noble goal or a fool's errand? You still haven't decided. Still, an endeavor worth pursuing. Imagine a world without the Eschaton.<<NL>>As you reached the shores of Delphi, you were visited by the unlikeliest of creatures, Icarus, the son of the Great Inventor. Reluctantly, and with great apprehension, did he urge you to light his father's masterpieces. Before he had a chance to reveal more, he was remvoed from Argo's deck in a brilliant flash...<<NL>>You need to find Icarus",Find Icarus,"Create the Cycle III Exploration deck: find the Cycle III Exploration cards 1-9, 13, 19, 23, 29-30, 32-34 and shuffle them. Take the Cycle III Map tile 010 and place it on the board. Place the _Argo_ on that tile. Mark day 0 on the Timeline. Proceed to the first step of the Campaign Round.<<NL>>When there are 6 or more @Progress on this card, see 0008.<<NL>>During the Story Step of the 6th day, see 0009","The key to finding Icarus lies with his father's last work. The Lighthouses of Delphi have been built to withstand the ravages of time tiself and stave off the wall of void that descends upon the land, the inevitable Timefront. All they needed was the tinder to kindle the fire, one you've brought with you all the way from Crete: Ariadne's Anchor. It seems the shadow of the Great Inventor, Daedalus, is indeed long and dark.<<NL>>And it begs the question: Has all of this been preordained? Are you doomed to fail and continue this vicious cycle? In Delphi there are supposedly no coincidences. But there was also no hope here, and that you have brought aplenty. Hope will see you through this storm",Re-light 5 Daedalus Lighthouses,"Each time you reveal a Map tile with a Daedalus Lighthouse symbol, you re-light that Lighthouse. This includes all the Map tiles you already revealed. When you reveal the 5th Lighthouse, during the Story Step, see 0017.<<NL>>*Note:* Some Lighthouses are still standing in Delphi's Glorious Past, but to reach them, you will need the [Trespass Protocol|CA1611] Technology card.<<NL>>You can place @Progress token on this card to study the unusual temporal phenomena and the fractured land of Delphi:<<NL>>2 @Progress: You partially reconstruct the geographical map of Delphi, immediately see 0016.<<NL>>5+ @Progress: Your academicians re-establish inter-lighthouse connections. This counts as 1 re-lit lighthouse for the purposes of this task",,
CD1258,To Those Long Dead,To Those Yet Unborn,Odyssey,Story,Cycle III,Half-Page,,2,"Delphi is a land stuck, and Icarus a hostage to a Sun God's last will, repeating a cycle of expectations and failure over and over again.<<NL>>The cycle begins. In the last days before the Eschaton, on the behest of his father, Icarus undertakes a daring mission to reach the Sun in his sky ship, the Aspirant. He doesn't make it. His ship, his crew, all is lost in the incinerating embrace of the Sun's Domain. Icarus falls. He and his crew transform into the tainted creatures plaguing Delphi. The cycle loops.<<NL>>Poor Icarus keeps falling. and failing. And yet he will contineu to rise until he satisfies his father's command. Bound to repeat this vicious cycle and trap everyone else in it. And each time Delphi is a little less, consumed by the Timefront, the maw of entropy.<<NL>>Icarus is bound by the Moirai to repeat his mistakes. You are not. Change the past, let Icarus soar. Cancel the Eschaton",Change the timeline to help Icarus,"When this card is revealed, perform a Divine Surge.<<NL>>Take the six Story 2A Clue cards and shuffle them to create the [Events deck]. Draw 3 cards from this deck. These represent the events you need to change to affect the timeline and change the fate of the Aspirant. You need to change 3 events in a Single Time Loop, otherwise you will have to repeat them. For this reason, when you are asked to mark a code in the matrix, don't put it in the Choice Matrix yet, note it separately. If the Loop resets (i.e. you resolve the Loop effect), erase those noted codes. You will only mark these in the Matrix once you see the paragraph below.<<NL>>You can collect @Progress tokens on this card. They will come in handy later and will also have some immediate benefits, allowing you to choose from a wider variety of events:<<NL>>1 @Progress: Draw another event (you still need to change only 3 events).<<NL>>3 @Progress: Draw another event (you still need to change only 3 events).<<NL>>5+ @Progress: Draw another event (you still need to change only 3 events).<<NL>>As soon as you change 3 events in a Single Time Loop, see 0059","It should have worked. You did everything you agreed upon and events, for once, did flow differently. Yet the time loop is still here, Delphi trapped, time-locked, slowly consumed by the voracious Timefront.<<NL>>Did Icarus fail or have you been deceived? Or is there something else at play here, hidden? Impossible to tell at this point. The Last Academy is tracking the descent trajectory of a near-sun object, both through time and space. The Aspirant, the sky chariot of Icarus. You need to locate it",Calculate the course of the Aspirant. Collect Progress,"Move all @Progress tokens from side 2A here. When there are 9 or @Progress on this card, see 0083",,
