Card ID,Name,Reverse Side,Game,Render Type,Cycle,Card Size,Tiles,Keywords,Abilities,Trap,Treasure,Flipped Keywords,Flipped Abilities,FAQ,Errata
AI0361,Column,,Odyssey,Terrain,Cycle I,Standard,16 1x1,Obstacle. Obscuring. Destructible. Trap,,"If the Primordial ends their involuntary movement on this tile, roll a d10:<<NL>>1-2: Nothing happens.<<NL>>3-8: Place 1 negative @AT token in the Kratos Pool<<NL>>9-10: Place 2 negative @AT tokens in the Kratos Pool",,,,,
AI0362,City,Ruined City,Odyssey,Terrain,Cycle I,Standard,2 3x3,Obscuring. Inhabited. Reinforced Destructible. Cover,%Allied% Titans on this tile have +1 @Power. %At War% Treat this tile as an {Obstacle},,,Inhabited. Destructible. Cover,%Allied% Titans on this tile have +1 @Power. %At War% Treat this tile as an {Obstacle},,
AI0364,Labyrinth,Maze Fissure,Odyssey,Terrain,Cycle I,Standard,"4 1x4, 4 Z, 4 L, 4 2x2",Indestructible. Labyrinth,,,,,,,
AI0364,Maze Fissure,Labyrinth,Odyssey,Terrain,Cycle I,Standard,"3 1x4, 2 Z, 3 L, 1 2x2",Chasm,,,,,,,
AI0366,Giant Shell,,Odyssey,Terrain,Cycle I,Standard,1 3x3,Obstacle. Obscuring. Indestructible. Treasure,,,"1: It's still occupied! A siren attacks you, gain +3 @Danger.<<NL>>2-5: A pirate stash. Gain 2 Trireme resources.<<NL>>6-8: Perfect shape. Gain a [Siren Shield|AJ0167] @Gear card.<<NL>>9-10:Ancient shell. Gain 1 Ancient Shell Rare resource",,,,
AI0367,Minos Manos Unit,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Destructible. Trap. Treasure,,"If the Primordial ends their involuntary movement on this tile, place 1 negative @AT token in the Kratos Pool","1-3: You try to use the massive machina, but cut yourself on the impossibly sharp circular blade. Gain +2 @Danger and resolve a Trauma Draw.<<NL>>4-7: You tinker with the machina and accidentally turn it on. The hollow boom of its engines draws the Primordial. The Primordial performs Signature against you.<<NL>>8-9: You use the contraption to hone your edge. If you're using a Melee or Reach Weapon, you gain +1 @Power until the end of Battle.<<NL>>10: You break away a functional piece of the Unit and... repurpose it. Gain the [Manos Discus|AJ0280] @Gear card (Secret Deck 2, card 19)!",,,,
AI0368,Maze Outcrop,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Obstacle. Obscuring. Indestructible. Treasure,,,"1: Sensing your presence, the Maze Outcrop burrows deep. Discard this tile. Escalate 1.<<NL>>2-3: You feel an almost existential fear. Gain 1 Despair token.<<NL>>4-7: As if reacting to your presence, the Outcrop expands like a flower! Immediately place 4 [Labyrinth|AI0364] Terrain tiles around the Outcrop. Suffer Knockdown.<<NL>>8-9: Gain 1 Maze Fragment resource.<<NL>>10: You rip open a part of the outer maze formation. Maybe you can use it as a shield? Gain the [Temenos Scale Shield|BJ0829] (Cycle II) @Gear card",,,,
AI0369,Abandoned Temple,,Odyssey,Terrain,Cycle I,Standard,1 2x2,Obstacle. Obscuring. Destructible. Treasure,,,"1: The realization comes too late - this temple has been claimed by the Labyrinthians! You scramble to the exit, but are tainted nonetheless. Gain the Mazetouched Affliction,<<NL>>2-5: Nature reclaimed the temple and now only birds call it home. You inadvertantly scare them, drawing the Primordial to your position. The Primordial performs Signature against you.<<NL>>6-9: The priest who made this temple his home sees your arrival as a sign and joins you. Gain +1 Priest.<<NL>>10: You cannot believe your eyes. This does not belong in a Dead God's temple... Gain 1 Sisyphus Tear (once per Cycle). If you have already gained a Sisyphus Tear from this Terrain tile, lose -2 @ArgoFate",,,,
AI0370,Argo Hull,,Odyssey,Terrain,Cycle I,Standard,"1 1x4, 2 1x5",Obstacle. Indestructible,"Hull Damage: If the Primordial moves on to this tile or a Titan would be involuntarily moved onto it, roll a d10. On a 6+, the plating holds, otherwise, lose -1 @Hull and disable the Argo Support effect (only once per Battle)",,,,,,
AI0371,Ambrosia Pool,,Odyssey,Terrain,Cycle I,Standard,6 2x2,Ambrosia,,,,,,,
BI0691,Spartan River Works,,Odyssey,Terrain,Cycle II,Standard,"4 1x1, 1 Z, 5 1x4, 3 1x5",River. Indestructible. Chasm. Exposed,,,,,,,
BI0693,Ambrosia Trail,,Odyssey,Terrain,Cycle II,Standard,4 3x3,Ambrosia,,,,,,,
BI0694,Fortified City,Termophylaed City,Odyssey,Terrain,Cycle II,Standard,3 3x3,Obscuring. Cover. Inhabited,"Scouting: The first time any Titan moves on to this tile, test Cunning (6+). On Fail, flip this tile. Thermopylaed: If you push the Primordial onto this tile, test Cunning (6+). On Success, flip this tile",,,Obscuring. Cover. Inhabited,"Titans: If this card flipped from Scouting, gain Danger equal to the Primordial LVL and suffer Knockdown. Primordials: If this card flipped from Thermopylaed, place 1 negative AT token in the Kratos Pool",,
BI0695,Cliff,,Odyssey,Terrain,Cycle II,Standard,"3 L, 3 O, 5 Z, 6 1x4",Obstacle. Obscuring. Indestructible,"Cannot be ignored using the {Jump} keyword. During voluntary movement, Titans may perform a Climb test to attempt to move through a Cliff tile. Small Cliff: Fury (8+). Large Cliff: Fury (10+). Success: Continue to move through the Cliff tile, ignoring the Obstacle keyword. You cannot end your movement on a Cliff tile. Fail: Your movement immediately ends",,,,,,
BI0696,Ambrosia Elephant,,Odyssey,Terrain,Cycle II,Standard,2 1x1,Destructible. Obstacle. Obscuring. Treasure,,,"1: The bubbling ambrosia stored in the elephant enguls you! Gain 1 Ambrosia token and suffer Knockdown. 2-5: Dormant raw Ambrosia. Gain 1 Violent Ambrosia resources. 6-9: Refined Ambrosia tank. Gain 2 Violent Ambrosia resources. 10: During their excavation, the Spartans dug up a Cyclopean Burial Site. Gain a Carver Kopis @Gear card. If you already a Carver Kopis, gain a Cyclopean Visor @Gear card instead",,,,
BI0697,Cyclops Trap,,Odyssey,Terrain,Cycle II,Standard,2 1x1,Chasm,"Setup: Place 2 Cyclops Trap Terrain tiles in the Outer 3 zone, minimum 5 spaces apart and 5 spaces from any City. Trap: If the Primordial moves through this tile, discard the tile and roll a d10: 1-6: Look at the top BP card. 7-10: Look at the top BP card. The Primordial has -1 @AT until the end of the Titan Round. If a Titan dies from the Chasm effect on this tile, discard the tile",,,,,,
BI0699,Krypteia Outpost,Damaged Krypteia Outpost,Odyssey,Terrain,Cycle II,Standard,1 2x2,Reinforced Destructible. Obstacle. Obscuring,"Setup: Place the Krypteia Outpost in the Outer 3 Zone of one of the short Board Edges. Jamming: While the Krypteia Outpost is on the Board, you cannot use Argo Abilities. You may attack the Krypteia Outpost with a @CombatAction as if it was a Primordial. (To-Hit 4+. AT 4. Wound: You damage the structure, flip this tile and place 2 Openings in the Kratos Pool. Fail: Your attack is met with fierce opposition! These Spartans have been trained to deal with Titans. Gain +1 Danger and resolve a Trauma Draw. Critical: You destroy the structure in one fell attack! Gain +1 Progress. Discard this tile. You and one other Titan may immdiately move up to 5 spaces. Place 1 Opening token in the Kratos Pool.)",,,Destructible. Obstacle. Obscuring,"Jamming: While the Damaged Krypteia Outpost is on the Board, you can only use 1 Argo Ability per Round. You may attack the Krypteia Outpost with a @CombatAction as if it was a Primordial. (To-Hit 6+. AT 3. Wound: Discard this tile. You and one other Titan may immediately move up to 5 spaces. Fail: Your attack is met with fierce opposition! These Spartans have been trained to deal with Titans. Gain +1 Danger and resolve a Trauma Draw. Critical: You destroy the structure in one fell attack! Gain +1 Progress. Discard this tile. You and one other Titan may immdiately move up to 5 spaces.)",,
BI0700,Graveyard Of The Frail,,Odyssey,Terrain,Cycle II,Standard,1 2x2,Obscuring. Destructible. Cover. Inhabited,"%Friendly% Titans on this tile have +1 Precision. <Allied> Titans on this tile have +1 Precision and +1 @Power. If this tile is destroyed, immediately lose -1 Humanity and gain +1 @Refugees",,,,,,
CI1310,Timefront,,Odyssey,Terrain,Cycle III,Standard,"1 1x4, 2 1x5",Board Edge. Boundless. Indestructible,"If a Titan would die by moving onto or beyond this Board Edge, it is erased from existence instead. Treat all Timefront Terrain tiles as a single tile",,,,,,
CI1311,Time-Frozen City,,Odyssey,Terrain,Cycle III,Standard,2 3x3,Obscuring. Inhabited. Destructible. Cover,"@CombatAction Thaw Time: Once per Battle, when adjacent or on this tile, lose -1 Frozen Time and test (@ArgoFate+). On Success, you've freed the City from the Loop. Gain +1 Diplomacy with the Local Faction and replace this tile with a City Terrain tile",,,,,,
CI1312,Spot Of Nothingness,,Odyssey,Terrain,Cycle III,Standard,1 2x2,Obscuring. Indestructible,Titans treat this tile as having {Boundless} and {Board Edge} keywords,,,,,,
CI1313,Black Iceberg,,Odyssey,Terrain,Cycle III,Standard,15 1x1,Obstacle. Obscuring. Destructible. Black Ice,"Trap: If you push the Primordial onto this tile, remove the tile and roll a d10: 1-2: Nothing happens. 3-8: Place 1 negative @AT token in the Kratos Pool. 9-10: Place 2 negative @AT tokens in the Kratos Pool",,,,,,
CI1314,Giant Black Iceberg,,Odyssey,Terrain,Cycle III,Standard,3 2x2,Obstacle. Obscuring. Destructible. Black Ice,"Trap: If you push the Primordial onto this tile, remove the tile and roll a d10: 1-2: Nothing happens. 3-8: Place 1 negative @AT token in the Kratos Pool. 9-10: Place 2 negative @AT tokens in the Kratos Pool",,,,,,
CI1315,Floating Rocks,,Odyssey,Terrain,Cycle III,Standard,2 2x2,Obstacle. Obscuring. Indestructible. Elevated,"Climb test Fury (4+). On Success, yo may place your Titan on any of this tile's spaces. When on a Floating Rocks space, a Titan may move to a VP I of an adjacent Primordial with a free action. They also gain +3 to Climb tests",,,,,,
CI1316,Black Glacier,,Odyssey,Terrain,Cycle III,Standard,"1 L, 2 Z, 3 1x5",Indestructible. Slippery,,,,,,,
CI1317,Black Lake,,Odyssey,Terrain,Cycle III,Standard,2 3x3,Indestructible. Slippery,,,,,,,
,Hyperborean Ruins,,Odyssey,Terrain,Cycle III,Standard,1 3x3,Obstacle. Obscuring. Indestructible,"@CombatAction *Treasure:* Once per Battle, when adjacent, search the Hyperborean Ruins. Roll a d10:<<NL>>1: You devle too deep and get lost in time and space. Suffer Time-clocked.<<NL>>2-5: Unknown dangers still lurk in the ruins. Suffer {Bleeding 1}.<<NL>>6-9: An artifact of ancient origin. Gain 1 Antediluvian Sirenshell Rare resource.<<NL>>10: Among the rubble, you find a forgotten treasure. Gain the [Exiles Garb|CJ1490] @Gear card. If you already have it, gain +1 Pygmalion Stone instead",,,,,,
DI2027,Irem City,,Odyssey,Terrain,Cycle IV,Standard,3 3x3,Indestructible. Obscuring. Elevated. Cover,"To climb the Irem City (if you are not on an elevated space), test Fury (5+)",,,,,,
DI2028,Irem Tower,,Odyssey,Terrain,Cycle IV,Standard,26 1x1,Shifting. Obscuring. Obstacle. Elevated,"To climb the Irem Tower (if you are not on an elevated space), test Fury (4+)",,,,,,
DI2029,Windblighted Fleet,Trireme Graveyard,Odyssey,Terrain,Cycle IV,Standard,1 2x2,Shifting. Obscuring. Elevated. Inhabited. Cloud,"%Allied% Titans on this tile have +1 @Power. %Friendly% Titans on this tile have Auto-break 1. %Denounced% When you move onto this tile, gain +1 @Danger and +1 @Fate. %At War% Treat this tile as an {Obstacle}",,,,,,
DI2029,Trireme Graveyard,Windblighted Fleet,Odyssey,Terrain,Cycle IV,Standard,1 2x2,Destructible. Obstacle. Elevated. Treasure,,,"You may voluntarily choose a lower result. 1: This trireme graveyard is also a mass grave to all the lost souls on board the wrecked ships - who would have built this monument to failure? Gain 1 Despair token and 1 Ambrosia token.\2-4: The cargo holds of some of these vessels have not been emptied. Gain 5 Orichalcum Chunk resources.<<NL>>5-7: A pocket of trapped life-giving air. Flip 1 Aether token.<<NL>>8-9: An ancient cache of robbed Silver People secrets. Gain 1 Undead Silver Rare resource.<<NL>>10: These warships were part of some grand Vanguard armada, and, peculiarly, they carried a giant-sized weapon, one fit for a titan. Gain the [Hunter Killer|EJ2994] @Gear card (Secret deck 18, card 296)",,,,
DI2030,Wishstorm,School of Creatures,Odyssey,Terrain,Cycle IV,Standard,1 2x2,Obscuring. Cloud. Trap. Treasure. Elevated,"To climb the Wishstorm (if you are not on an elevated space), test Fury (7+)","If a Titan ends their involuntary movement on this tile, they draw an Obol. If the Primordial ends their involuntary movement on this tile, place 1 negative @AT token in the Kratos Pool","1: Wish Curse: The unpredictable forces of the storm rouse an ancient greed inside you. Gain the [Wishagog|DL2011] Condition card.<<NL>>2-5: Ill-Considered Wish! Gain +1 @Fate and {Wish Away 12}!<<NL>>6-9: Thoughtful Wish: Gain 1 Echo of Recollection Divine resource or gain 1 Golden Bough Rare resource.<<NL>>10: Wishbreaker Wish: Lose a Curse Affliction or gain 1 Sisyphus Tear, or gain +1 @Progress, or the [Debtguard|DJ2323] @Gear card!",,,,
DI2030,School of Creatures,Wishstorm,Odyssey,Terrain,Cycle IV,Standard,1 2x2,Obscuring. Destructible. Cover,"*Mobile:* If you start your @MovementAction on this tile, or more through it during a @MovementAction, you may move this tile up to 2 spaces in the direction of your movement. *Camouflage:* When you are on this tile, pass the @PriorityTarget Priority Target token to the next eligible holder. You cannot be a Target if there are other eligible Targets for the targeting line",,,,,,
DI2031,Ambrosia Cloud,Black Abyss,Odyssey,Terrain,Cycle IV,Standard,4 3x3,Ambrosia. Obscuring. Cloud,,,,,,,
DI2031,Black Abyss,Ambrosia Cloud,Odyssey,Terrain,Cycle IV,Standard,5 3x3,Obscuring. Chasm. Indestructible,"*Abyss:* You cannot voluntarily move through or ignore this tile in any way; you cannot measure effective range of your weapons through empty spaces of this tile. If a Black Abyss tile moves onto you or you're move involuntarily through or onto it, you are devoured (die)",,,,,,
DI2032,Staircase Entrance,,Odyssey,Terrain,Cycle IV,Standard,1 1x1,Obscuring. Obstacle. Elevated. Indestructible,"To climb the Irem Tower (if you are not on an elevated space), test Fury (4+)",,,,,,
EI2604,Arcology,Ruined Arcology,Odyssey,Terrain,Cycle V,Standard,2 3x3,Obscuing. Inhabited. Reinforced Destructible. Cover,%Allied% Titans on this tile have +1 @Power. Light 1. *Omnilight:* This tile projects light in all cardinal directions. %Aligned with Nemesis% Treat this tile as an {Obstacle},,,Obscuing. Inhabited. Destructible. Cover,%Allied% Titans on this tile have +1 @Power. Light 1. *Omnilight:* This tile projects light in all cardinal directions. %Aligned with Nemesis% Treat this tile as an {Obstacle},,
EI2605,Inkblot,,Odyssey,Terrain,Cycle V,Standard,5 2x2,Ambrosia. Obscuring. Cloud,,,,,,,
EI2606,Petrified Vent,,Odyssey,Terrain,Cycle V,Standard,24 1x1,Obstacle. Obscuring. Destructible. Black Smoke,,,,,,,
EI2607,Trench,,Odyssey,Terrain,Cycle V,Standard,"2 1x1, 2 1x4, 2 1x5",Indestructible. Chasm. Light Void,,,,,,,
EI2608,Lightwall,,Odyssey,Terrain,Cycle V,Standard,"2 1x1, 2 1x4, 2 1x5",Destructible. Obstacle. Light 1,"*Monument to Progress:* For the purposes of Despair adjacency, treat this tile as a Titan. *Omnilight:* This tile projects light in all cardinal directions",,,,,,